                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63885,                0.35384,                 0.8303,                0.98844,                 0.9727,                0.98861,                0.84323,                0.61604,                0.31756,                0.79838,             0.00036885,             0.00036885,             0.00036885
                     37,                0.63676,                0.35722,                0.83048,                0.98713,                0.97608,                0.98958,                0.84558,                0.62094,                0.32001,                0.80173,             0.00036335,             0.00036335,             0.00036335
                     38,                0.64944,                0.36065,                0.83078,                0.98633,                0.97628,                 0.9903,                0.85017,                0.61897,                0.31627,                 0.8002,             0.00035784,             0.00035784,             0.00035784
                     39,                0.63884,                0.35617,                0.82886,                0.98318,                0.97817,                0.98922,                0.84938,                0.60862,                0.31134,                0.79856,             0.00035234,             0.00035234,             0.00035234
                     40,                0.63908,                0.35347,                0.82636,                0.99058,                0.97768,                0.99158,                0.85849,                0.59362,                0.30579,                0.79461,             0.00034683,             0.00034683,             0.00034683
                     41,                0.63555,                0.35219,                0.82559,                0.98365,                0.97281,                0.98659,                0.83688,                0.62565,                 0.3184,                0.79728,             0.00034133,             0.00034133,             0.00034133
                     42,                0.63631,                0.34931,                0.82915,                0.98261,                 0.9828,                0.99104,                0.85211,                0.60083,                0.30415,                0.79705,             0.00033582,             0.00033582,             0.00033582
                     43,                0.62855,                0.34583,                0.82855,                0.98426,                0.97857,                0.98973,                0.84971,                0.61337,                0.31176,                0.79824,             0.00033032,             0.00033032,             0.00033032
                     44,                0.63875,                0.35226,                0.82915,                0.98432,                0.98067,                0.99053,                0.85403,                0.60688,                 0.3106,                0.79653,             0.00032482,             0.00032482,             0.00032482
                     45,                0.62556,                0.34672,                0.82456,                0.98451,                0.97728,                0.98921,                0.84791,                0.62119,                0.31102,                0.80041,             0.00031931,             0.00031931,             0.00031931
                     46,                0.62921,                0.34233,                0.82373,                0.98873,                0.97879,                0.98992,                0.85514,                0.60567,                0.30571,                0.79906,             0.00031381,             0.00031381,             0.00031381
                     47,                0.63608,                0.34735,                0.82494,                0.98666,                0.98348,                0.99143,                0.85549,                0.59891,                 0.3042,                0.79509,              0.0003083,              0.0003083,              0.0003083
                     48,                0.62224,                0.34195,                0.82458,                0.98683,                0.98037,                0.99124,                0.86019,                0.58917,                0.29845,                0.79187,              0.0003028,              0.0003028,              0.0003028
                     49,                0.61948,                0.33852,                0.82216,                0.98552,                  0.979,                0.98969,                0.85369,                0.60237,                0.30134,                0.79718,             0.00029729,             0.00029729,             0.00029729
                     50,                0.61785,                 0.3395,                 0.8254,                0.98315,                0.98085,                0.99033,                0.85339,                0.60154,                0.30368,                0.79694,             0.00029179,             0.00029179,             0.00029179
                     51,                0.62493,                 0.3385,                0.82521,                0.98123,                0.98093,                0.99029,                0.85756,                0.60559,                0.29836,                0.79588,             0.00028628,             0.00028628,             0.00028628
                     52,                0.61945,                 0.3358,                 0.8224,                0.98518,                0.98258,                0.99149,                0.85576,                0.60092,                0.29758,                0.79495,             0.00028078,             0.00028078,             0.00028078
                     53,                0.61712,                0.33643,                0.82003,                 0.9876,                0.97739,                0.99076,                0.85668,                0.59322,                0.29855,                 0.7943,             0.00027528,             0.00027528,             0.00027528
