                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70958,                 0.4593,                0.85279,                0.97328,                0.97973,                0.98667,                0.82681,                0.64836,                0.39201,                0.80682,             0.00036885,             0.00036885,             0.00036885
                     37,                0.70646,                0.46227,                0.85269,                0.97912,                0.98029,                 0.9872,                0.82263,                0.65106,                0.38594,                0.80969,             0.00036335,             0.00036335,             0.00036335
                     38,                0.71685,                0.46284,                0.84875,                0.97855,                0.98047,                0.98809,                0.82518,                0.64396,                0.38208,                0.80966,             0.00035784,             0.00035784,             0.00035784
                     39,                0.70524,                0.45536,                 0.8493,                0.98512,                0.97739,                0.98946,                0.83504,                0.64082,                0.37973,                0.80485,             0.00035234,             0.00035234,             0.00035234
                     40,                0.70433,                0.45333,                0.84575,                0.97958,                0.97685,                0.98863,                0.83011,                0.63763,                0.38421,                0.80338,             0.00034683,             0.00034683,             0.00034683
                     41,                0.70517,                0.45245,                0.84612,                0.98204,                0.97661,                0.98849,                0.82891,                0.65224,                0.38446,                0.80311,             0.00034133,             0.00034133,             0.00034133
                     42,                0.70399,                0.44593,                 0.8475,                0.98375,                0.98068,                0.98966,                0.83384,                  0.628,                0.37765,                0.80128,             0.00033582,             0.00033582,             0.00033582
                     43,                0.69224,                0.44201,                0.84647,                0.98126,                0.97438,                0.98844,                0.83304,                0.63663,                0.38039,                0.80177,             0.00033032,             0.00033032,             0.00033032
                     44,                0.70493,                0.44854,                0.84938,                0.98664,                0.97613,                0.98975,                0.83679,                0.62474,                0.37201,                0.80272,             0.00032482,             0.00032482,             0.00032482
                     45,                0.69604,                0.44675,                0.84509,                0.98151,                0.97997,                0.98953,                0.83838,                0.63208,                0.37561,                0.80305,             0.00031931,             0.00031931,             0.00031931
                     46,                0.69389,                 0.4385,                0.84438,                0.97879,                0.98072,                0.98727,                0.83766,                0.62469,                0.36764,                 0.7991,             0.00031381,             0.00031381,             0.00031381
                     47,                0.70099,                0.44276,                0.84363,                0.97934,                0.97583,                0.98826,                0.83455,                 0.6312,                0.37547,                 0.7956,              0.0003083,              0.0003083,              0.0003083
                     48,                0.68508,                0.43337,                0.84313,                0.98663,                0.98456,                 0.9916,                0.84008,                0.62177,                0.36118,                0.79861,              0.0003028,              0.0003028,              0.0003028
                     49,                0.68441,                0.43306,                0.83978,                0.97853,                 0.9767,                0.98951,                0.83475,                0.63049,                0.37414,                0.79984,             0.00029729,             0.00029729,             0.00029729
                     50,                0.68507,                0.43259,                0.84455,                0.97718,                0.97764,                0.98555,                0.83591,                0.62585,                0.36662,                0.79827,             0.00029179,             0.00029179,             0.00029179
                     51,                0.68796,                0.42908,                0.84179,                0.98695,                0.97714,                 0.9905,                0.84226,                0.62086,                0.35922,                0.79894,             0.00028628,             0.00028628,             0.00028628
                     52,                0.68483,                0.42531,                0.83895,                0.97903,                0.98137,                0.98965,                0.84287,                0.62074,                0.35955,                 0.7966,             0.00028078,             0.00028078,             0.00028078
                     53,                0.68009,                0.42824,                0.83871,                0.98344,                0.98314,                0.99042,                0.84356,                0.61669,                0.35399,                0.79782,             0.00027528,             0.00027528,             0.00027528
                     54,                0.67361,                  0.421,                0.83656,                0.98687,                0.98134,                0.99076,                 0.8422,                 0.6142,                0.35286,                0.79923,             0.00026977,             0.00026977,             0.00026977
                     55,                0.68293,                0.42516,                0.83976,                0.98107,                0.97879,                0.98833,                0.83662,                0.63132,                   0.36,                0.79871,             0.00026427,             0.00026427,             0.00026427
                     56,                0.68317,                0.42276,                0.83884,                0.98549,                0.98105,                0.99041,                0.83868,                0.62754,                  0.356,                0.79891,             0.00025876,             0.00025876,             0.00025876
                     57,                0.67391,                0.42173,                0.83794,                0.98787,                0.97666,                0.98953,                0.84131,                0.61659,                0.35631,                0.79572,             0.00025326,             0.00025326,             0.00025326
                     58,                0.67728,                0.41877,                0.83653,                0.98285,                0.97999,                0.99056,                0.84312,                0.62167,                0.35381,                0.79729,             0.00024775,             0.00024775,             0.00024775
                     59,                0.67422,                0.41763,                0.83898,                0.98333,                0.97786,                0.98937,                0.84315,                0.61939,                0.35008,                0.79571,             0.00024225,             0.00024225,             0.00024225
                     60,                0.66879,                0.41325,                0.83575,                 0.9858,                0.98164,                0.99057,                0.84543,                0.61348,                 0.3478,                0.79477,             0.00023674,             0.00023674,             0.00023674
                     61,                0.66809,                  0.413,                0.83491,                0.98289,                0.98142,                0.99007,                 0.8451,                0.61632,                 0.3501,                0.79388,             0.00023124,             0.00023124,             0.00023124
                     62,                0.66995,                0.41244,                0.83872,                 0.9885,                0.97455,                0.98973,                   0.84,                0.62585,                0.35291,                0.79612,             0.00022574,             0.00022574,             0.00022574
                     63,                0.66932,                0.40789,                0.83623,                0.98631,                0.98401,                0.99092,                0.84477,                0.61218,                0.34739,                0.79495,             0.00022023,             0.00022023,             0.00022023
